2020-01-03,<1
2020-01-06,<1
2020-01-07,1
2020-01-08,2
2020-01-09,2
2020-01-10,3
2020-01-13,4
2020-01-14,4
2020-01-15,4
2020-01-16,4
2020-01-17,4
2020-01-21,7
2020-01-22,8
2020-01-23,9
2020-01-24,10
2020-01-27,12
2020-01-28,15
2020-01-29,14
2020-01-30,16
2020-01-31,17
2020-02-03,9
2020-02-04,8
2020-02-05,7
2020-02-06,7
2020-02-07,8
2020-02-10,7
2020-02-11,7
2020-02-12,6
2020-02-13,7
2020-02-14,5
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,7
2020-02-24,20
2020-02-25,24
2020-02-26,28
2020-02-27,28
2020-02-28,30
2020-03-02,31
2020-03-03,31
2020-03-04,34
2020-03-05,36
2020-03-06,36
2020-03-09,48
2020-03-10,53
2020-03-11,64
2020-03-12,97
2020-03-13,93
2020-03-16,100
2020-03-17,93
2020-03-18,91
2020-03-19,89
2020-03-20,84
2020-03-23,83
2020-03-24,76
2020-03-25,71
2020-03-26,70
2020-03-27,74
2020-03-30,61
2020-03-31,57
2020-04-01,56
2020-04-02,55
2020-04-03,68
2020-04-06,64
2020-04-07,65
2020-04-08,64
2020-04-09,58
2020-04-13,58
2020-04-14,53
2020-04-15,55
2020-04-16,52
2020-04-17,52
2020-04-20,39
2020-04-21,41
2020-04-22,34
2020-04-23,40
2020-04-24,42